"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: PIMS 2 V4","Mapping: FHIR Release 4","Mapping: RIM Mapping"
"EmrLisDataDictionary","","","",0,*,"","","","","Base for all elements","EmrLisDataDictionary","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","","","n/a"
"EmrLisDataDictionary.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"EmrLisDataDictionary.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"EmrLisDataDictionary.Patient","","","",0,1,"","","","BackboneElement {[]} {[]}
","EMR-LIS Patient Logical Model","Logical model of EMR-LIS Patient","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Patient",0,1,"","","Patient.tblPatient","Patient"
"EmrLisDataDictionary.Patient.NationalID","","","",0,1,"","","","Identifier {[]} {[]}
","National Patient Identification Number","Main national-level identification number (Omang or Passport)","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Patient.NationalID",0,1,"","","Patient.tblPatient.IDNo; Patient.tblPatient.IDNoType","Patient.identifier"
"EmrLisDataDictionary.Patient.Active","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Patient Active Flag","Flag for distinguishing between active and not active Patients","","","","","","","","","",,"extensible","","","",,,,"EmrLisDataDictionary.Patient.Active",0,1,"","","Patient.tblPatientProgramActivity","Patient.active"
"EmrLisDataDictionary.Patient.MaritalStatus","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Marital Status","Marital Status","","","","","","","","","",,"extensible","","","",,,,"EmrLisDataDictionary.Patient.MaritalStatus",0,*,"","","Patient.tblPatient.MartitalStatusID; Patient.tblkMaritalStatus","Patient.maritalStatus"
"EmrLisDataDictionary.Patient.Address","","","",0,*,"","","","Address {[]} {[]}
","Patient Address","Patient Address","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Patient.Address",0,*,"","","Patient.tblAddress; Patient.tblkAddressType","Patient.address"
"EmrLisDataDictionary.Patient.birthDate","","","",0,1,"","","","date {[]} {[]}
","Patient Date of Birth","Patient Date of Birth","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Patient.birthDate",0,1,"","","Patient.tblPatient.DOB","Patient.birthDate"
